city,longitude,latitude,coordinates
Brochet,-101.6624986965198,57.887499076687824,"[-101.66249869651979, 57.887499076687824]"
Eagle,-141.19583180956684,64.78749860808087,"[-141.19583180956684, 64.78749860808087]"
Emmonak,-164.52083205022632,62.78749817341536,"[-164.52083205022632, 62.78749817341536]"
Lavrentiya,-171.01249839218264,65.58750146820871,"[-171.01249839218264, 65.58750146820871]"
Lutselke,-110.73750060159212,62.4041671053112,"[-110.73750060159212, 62.4041671053112]"
Mekoryuk,-166.19583313394725,60.3874985335023,"[-166.19583313394725, 60.3874985335023]"
Nenana,-149.08749980724662,64.56250130172202,"[-149.08749980724662, 64.56250130172202]"
Salluit,-75.662501575438,62.1791653095961,"[-75.662501575438, 62.1791653095961]"
Schefferville,-66.81250140644563,54.80416675453914,"[-66.81250140644563, 54.80416675453914]"
Stony Rapids,-105.83750143000243,59.25416672567887,"[-105.83750143000243, 59.25416672567887]"
Teller,-166.3624987138708,65.26249990001543,"[-166.3624987138708, 65.26249990001543]"
Al Jaghbub,24.52083299636283,29.7458315090378,"[24.52083299636283, 29.745831509037796]"
Calais1,-67.24583239889185,45.16250003126233,"[-67.24583239889185, 45.16250003126233]"
Chonchi,-73.80416674865768,-42.60416663854243,"[-73.80416674865768, -42.60416663854243]"
Comondante Luis Piedrabuena,-68.91250170520676,-49.97916747661613,"[-68.91250170520676, -49.97916747661613]"
Danjiangkou,111.49583320775442,32.520832647758844,"[111.49583320775442, 32.520832647758844]"
Dirj,10.462500284801878,30.16249884360065,"[10.462500284801878, 30.16249884360065]"
Gubkin,37.3958341077665,51.279164878246725,"[37.395834107766504, 51.279164878246725]"
Meningie,139.33750144424593,-35.6958329883504,"[139.33750144424593, -35.6958329883504]"
Port Hope Simpson,-56.2958320188768,52.54583493852282,"[-56.2958320188768, 52.54583493852282]"
Punta del Este,-54.95416652148616,-34.97083221529884,"[-54.95416652148616, -34.97083221529884]"
Queenstown2,168.6624985946826,-45.02916846652532,"[168.6624985946826, -45.02916846652532]"
Sharbaqty,78.15416695747304,52.495835079006085,"[78.15416695747304, 52.495835079006085]"
Southern Cross,119.320833146149,-31.229164869698536,"[119.320833146149, -31.229164869698536]"
Waitakere,174.55416611581228,-36.85416697235197,"[174.55416611581228, -36.85416697235197]"
Westport,171.56250175264867,-41.754168308731074,"[171.56250175264867, -41.754168308731074]"
Apodi,-37.79583325345418,-5.662498745079519,"[-37.795833253454184, -5.662498745079519]"
Bertoua,13.687498265149973,4.579166791670312,"[13.687498265149971, 4.579166791670312]"
Bocas del Toro,-82.24583363019724,9.337500282995215,"[-82.24583363019724, 9.337500282995215]"
Cuevo,-63.52083314183402,-20.45416634146519,"[-63.52083314183402, -20.45416634146519]"
Dibaya,22.862500016180675,-6.520833298391108,"[22.862500016180675, -6.520833298391108]"
